Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total
410855 GODOY MOREIRA,NA,NA,NA,NA,NA,NA,1,2,NA,1,4
410860 GOIOERE,2,3,2,9,4,10,16,3,1,6,56
410865 GOIOXIM,1,NA,1,NA,NA,2,NA,NA,NA,3,7
410870 GRANDES RIOS,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2
410880 GUAIRA,5,5,20,10,20,13,12,14,10,9,118
410890 GUAIRACA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3
410895 GUAMIRANGA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2
410900 GUAPIRAMA,4,3,1,3,3,NA,1,2,1,NA,18
410910 GUAPOREMA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,2
410920 GUARACI,NA,4,1,1,2,4,1,1,1,3,18
410930 GUARANIACU,NA,1,NA,NA,4,2,1,NA,NA,NA,8
410940 GUARAPUAVA,10,10,6,3,1,1,2,NA,1,4,38
410950 GUARAQUECABA,1,4,1,2,2,3,6,2,NA,1,22
410960 GUARATUBA,47,37,41,17,22,12,26,23,29,33,287
410965 HONORIO SERPA,NA,1,NA,2,NA,1,3,NA,1,NA,8
410970 IBAITI,15,16,40,45,42,19,16,13,5,9,220
410975 IBEMA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,2
410980 IBIPORA,9,7,6,11,15,16,25,37,7,14,147
410990 ICARAIMA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
411000 IGUARACU,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2
411005 IGUATU,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2
411007 IMBAU,1,NA,1,1,2,2,1,7,3,1,19
411010 IMBITUVA,1,2,2,1,NA,NA,4,8,1,2,21
411020 INACIO MARTINS,1,NA,1,NA,2,1,1,4,2,NA,12
411040 INDIANOPOLIS,1,NA,2,NA,NA,NA,3,1,NA,NA,7
411050 IPIRANGA,9,3,2,1,4,4,2,2,2,2,31
411060 IPORA,2,3,5,1,NA,2,1,6,1,4,25
411065 IRACEMA DO OESTE,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2
411070 IRATI,NA,NA,NA,NA,2,5,7,5,1,1,21
411080 IRETAMA,2,5,NA,3,5,6,6,3,1,1,32
411090 ITAGUAJE,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
411095 ITAIPULANDIA,1,NA,NA,1,NA,3,3,NA,1,1,10
411100 ITAMBARACA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,3
411110 ITAMBE,NA,NA,1,NA,2,NA,1,1,NA,NA,5
411120 ITAPEJARA D'OESTE,1,1,2,1,1,2,3,NA,6,1,18
411125 ITAPERUCU,20,32,25,29,19,9,22,8,31,36,231
411130 ITAUNA DO SUL,NA,NA,1,NA,NA,NA,2,3,NA,NA,6
411140 IVAI,7,9,4,3,4,7,9,45,5,1,94
411150 IVAIPORA,3,4,NA,NA,NA,3,12,44,2,5,73
411155 IVATE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
411160 IVATUBA,1,NA,1,1,NA,NA,NA,1,NA,NA,4
411170 JABOTI,8,NA,30,66,50,35,57,40,33,NA,319
411180 JACAREZINHO,20,16,8,17,13,14,5,5,10,18,126
411190 JAGUAPITA,4,9,NA,1,1,6,2,2,4,5,34
411200 JAGUARIAIVA,21,65,12,7,8,5,8,4,13,21,164
411210 JANDAIA DO SUL,NA,NA,1,1,1,1,1,1,NA,1,7
411220 JANIOPOLIS,4,3,3,1,NA,NA,3,1,NA,NA,15
411230 JAPIRA,1,3,NA,17,11,3,2,5,1,NA,43
411240 JAPURA,1,NA,1,NA,NA,NA,4,NA,NA,1,7
411250 JARDIM ALEGRE,3,4,2,3,1,6,6,19,1,1,46
411270 JATAIZINHO,2,5,NA,6,8,2,9,9,4,NA,45
411275 JESUITAS,1,1,1,NA,NA,1,2,NA,NA,1,7
411280 JOAQUIM TAVORA,47,70,27,15,13,6,5,1,1,2,187
411290 JUNDIAI DO SUL,NA,NA,3,NA,2,3,NA,NA,1,NA,9
411295 JURANDA,1,NA,1,1,NA,1,1,NA,NA,2,7
411300 JUSSARA,1,1,NA,1,1,NA,NA,3,2,NA,9
411310 KALORE,NA,NA,NA,NA,1,2,NA,4,1,1,9
411320 LAPA,13,29,19,33,13,6,15,65,398,413,1004
411325 LARANJAL,NA,2,NA,NA,NA,2,NA,NA,1,NA,5
411330 LARANJEIRAS DO SUL,1,NA,1,NA,1,1,NA,1,2,1,8
411340 LEOPOLIS,1,NA,NA,NA,NA,NA,1,1,NA,NA,3
411342 LIDIANOPOLIS,1,1,NA,NA,1,1,2,2,NA,NA,8
411345 LINDOESTE,4,NA,NA,3,1,NA,NA,NA,NA,NA,8
411350 LOANDA,1,3,1,6,18,16,12,255,12,2,326
411360 LOBATO,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3
411370 LONDRINA,134,70,78,78,106,141,136,140,213,229,1325
411373 LUIZIANA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,2
411375 LUNARDELLI,1,NA,1,NA,1,2,NA,5,NA,NA,10
411380 LUPIONOPOLIS,2,5,1,NA,NA,1,NA,1,NA,NA,10
411390 MALLET,5,8,1,7,1,NA,1,NA,NA,1,24
411400 MAMBORE,1,1,NA,NA,1,6,2,NA,2,NA,13
411410 MANDAGUACU,2,1,1,2,2,6,1,3,2,NA,20
411420 MANDAGUARI,9,2,6,7,NA,2,1,3,NA,1,31
411430 MANDIRITUBA,21,9,9,6,3,2,2,2,12,1,67
411435 MANFRINOPOLIS,NA,NA,2,NA,1,NA,1,NA,2,1,7
411440 MANGUEIRINHA,3,2,NA,1,NA,3,4,1,2,3,19
411450 MANOEL RIBAS,11,2,3,4,3,2,12,17,NA,1,55
411460 MARECHAL CANDIDO RONDON,8,3,4,1,2,3,11,5,2,4,43
411470 MARIA HELENA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
411480 MARIALVA,1,NA,2,1,1,2,NA,4,NA,1,12
411490 MARILANDIA DO SUL,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
411500 MARILENA,4,1,3,8,NA,2,NA,2,1,NA,21
411510 MARILUZ,1,1,2,1,1,NA,NA,NA,1,NA,7
411520 MARINGA,8,14,14,26,22,28,22,36,7,10,187
411530 MARIOPOLIS,2,NA,NA,NA,NA,2,1,NA,NA,NA,5
411535 MARIPA,2,11,4,NA,NA,NA,NA,1,1,1,20
411540 MARMELEIRO,3,NA,3,1,5,2,6,7,10,8,45
411550 MARUMBI,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2
411560 MATELANDIA,2,3,3,NA,NA,NA,4,NA,1,2,15
411570 MATINHOS,317,290,29,19,28,40,20,23,17,59,842
411573 MATO RICO,3,NA,NA,1,5,1,NA,3,NA,NA,13
411575 MAUA DA SERRA,NA,NA,2,NA,1,NA,NA,2,NA,2,7
411580 MEDIANEIRA,3,5,4,5,5,8,3,8,2,2,45
411585 MERCEDES,2,1,NA,NA,NA,1,NA,NA,1,2,7
411600 MIRASELVA,1,NA,1,1,NA,NA,NA,NA,NA,NA,3
411605 MISSAL,3,1,1,3,2,5,2,6,4,4,31
411610 MOREIRA SALES,2,1,1,2,1,2,2,1,NA,NA,12
411620 MORRETES,15,11,3,10,5,24,9,5,8,3,93
411630 MUNHOZ DE MELO,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
411640 NOSSA SENHORA DAS GRACAS,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
411650 NOVA ALIANCA DO IVAI,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
411660 NOVA AMERICA DA COLINA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,3
411670 NOVA AURORA,NA,1,NA,NA,2,1,2,2,1,1,10
411680 NOVA CANTU,1,NA,NA,1,1,5,2,3,3,NA,16
411690 NOVA ESPERANCA,NA,1,2,3,2,1,NA,3,4,1,17
411695 NOVA ESPERANCA DO SUDOESTE,12,5,4,3,6,3,7,2,2,3,47
411700 NOVA FATIMA,2,2,2,1,1,NA,1,NA,1,NA,10
411705 NOVA LARANJEIRAS,NA,NA,2,1,NA,NA,1,1,1,1,7
411710 NOVA LONDRINA,5,4,9,2,3,4,3,70,2,1,103
411721 NOVA SANTA BARBARA,1,2,NA,NA,NA,1,NA,3,NA,NA,7
411722 NOVA SANTA ROSA,NA,6,4,4,4,2,4,1,1,4,30
411725 NOVA PRATA DO IGUACU,3,6,2,3,9,3,3,7,2,3,41
411727 NOVA TEBAS,2,1,1,7,8,5,3,6,1,1,35
411730 ORTIGUEIRA,14,8,8,6,6,3,11,3,5,8,72
411740 OURIZONA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
411745 OURO VERDE DO OESTE,NA,NA,NA,NA,NA,1,2,1,NA,NA,4
411750 PAICANDU,2,6,8,13,1,10,1,5,1,1,48
411760 PALMAS,2,9,1,NA,11,11,3,2,3,4,46
411770 PALMEIRA,11,5,8,5,1,3,8,2,3,2,48
411780 PALMITAL,NA,NA,2,2,1,3,NA,NA,1,2,11
411790 PALOTINA,2,1,NA,NA,1,NA,1,2,2,NA,9
411800 PARAISO DO NORTE,NA,NA,NA,NA,1,1,1,NA,NA,NA,3
411810 PARANACITY,NA,1,1,NA,1,NA,NA,1,1,1,6
411820 PARANAGUA,47,31,32,28,27,18,10,27,32,15,267
411830 PARANAPOEMA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,3
411840 PARANAVAI,15,4,NA,4,2,3,1,3,NA,NA,32
411845 PATO BRAGADO,NA,NA,NA,1,NA,3,1,3,NA,NA,8
411850 PATO BRANCO,18,6,5,3,11,17,21,1,3,16,101
411860 PAULA FREITAS,2,1,2,NA,NA,NA,NA,1,NA,NA,6
411880 PEABIRU,NA,NA,NA,2,NA,2,1,3,1,2,11
411885 PEROBAL,NA,1,NA,NA,NA,NA,1,1,1,2,6
411890 PEROLA,NA,1,2,2,1,1,NA,NA,NA,NA,7
411900 PEROLA D'OESTE,NA,1,1,4,4,8,1,2,8,4,33
411910 PIEN,10,7,8,5,7,3,6,1,11,9,67
411915 PINHAIS,109,116,161,60,43,27,95,47,67,44,769
411920 PINHALAO,2,1,1,60,53,1,7,1,1,NA,127
411925 PINHAL DE SAO BENTO,2,NA,1,1,2,1,2,1,NA,2,12
411930 PINHAO,1,1,1,NA,NA,3,NA,NA,NA,1,7
411940 PIRAI DO SUL,21,4,9,15,6,7,6,8,53,112,241
411950 PIRAQUARA,109,101,118,55,29,54,81,59,15,24,645
411960 PITANGA,NA,1,NA,NA,1,1,1,4,NA,NA,8
411965 PITANGUEIRAS,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
411970 PLANALTINA DO PARANA,NA,1,NA,1,NA,NA,NA,3,NA,NA,5
411980 PLANALTO,NA,1,4,2,2,2,1,1,2,3,18
411990 PONTA GROSSA,239,100,94,45,172,80,69,41,23,32,895
411995 PONTAL DO PARANA,10,5,7,11,8,2,13,10,8,13,87
412000 PORECATU,2,2,3,NA,1,1,4,2,NA,2,17
412010 PORTO AMAZONAS,1,2,NA,NA,1,NA,NA,NA,NA,2,6
412015 PORTO BARREIRO,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
412020 PORTO RICO,NA,NA,NA,NA,NA,1,NA,3,NA,NA,4
412030 PORTO VITORIA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
412033 PRADO FERREIRA,NA,NA,2,NA,NA,NA,1,NA,NA,1,4
412035 PRANCHITA,NA,3,1,4,12,6,2,4,6,6,44
412040 PRESIDENTE CASTELO BRANCO,NA,NA,1,NA,1,NA,NA,1,NA,NA,3
412050 PRIMEIRO DE MAIO,5,4,2,4,3,3,5,8,5,NA,39
412060 PRUDENTOPOLIS,4,5,13,6,2,4,5,5,2,4,50
412065 QUARTO CENTENARIO,2,NA,NA,NA,NA,1,4,NA,NA,1,8
412070 QUATIGUA,8,12,8,2,10,2,2,2,4,5,55
412080 QUATRO BARRAS,13,8,3,3,2,NA,2,NA,2,1,34
412085 QUATRO PONTES,NA,NA,NA,1,NA,1,NA,NA,NA,1,3
412090 QUEDAS DO IGUACU,1,NA,NA,2,NA,NA,2,7,NA,2,14
412100 QUERENCIA DO NORTE,6,3,NA,NA,6,1,8,15,1,NA,40
412110 QUINTA DO SOL,NA,1,NA,NA,2,NA,1,2,NA,NA,6
412120 QUITANDINHA,7,6,11,9,9,7,9,6,9,15,88
412125 RAMILANDIA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2
412130 RANCHO ALEGRE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
412135 RANCHO ALEGRE D'OESTE,NA,1,NA,1,NA,1,1,NA,NA,NA,4
412140 REALEZA,7,8,15,6,5,6,11,1,10,7,76
412150 REBOUCAS,NA,NA,1,NA,1,2,2,2,NA,1,9
412160 RENASCENCA,NA,2,4,3,3,1,2,2,4,2,23
412170 RESERVA,7,7,5,2,NA,1,4,10,9,3,48
412175 RESERVA DO IGUACU,NA,12,1,2,1,1,2,2,3,NA,24
412180 RIBEIRAO CLARO,1,5,2,4,6,7,9,2,6,2,44
412190 RIBEIRAO DO PINHAL,3,NA,32,1,1,NA,2,2,3,1,45
412200 RIO AZUL,NA,2,NA,NA,1,3,3,NA,NA,1,10
412210 RIO BOM,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
412215 RIO BONITO DO IGUACU,NA,NA,NA,NA,NA,1,NA,3,NA,1,5
412217 RIO BRANCO DO IVAI,NA,1,NA,NA,1,NA,2,8,NA,1,13
412220 RIO BRANCO DO SUL,32,40,32,39,19,20,30,22,49,54,337
412230 RIO NEGRO,35,24,17,11,67,144,15,30,18,20,381
412240 ROLANDIA,5,18,16,16,16,16,8,20,14,11,140
412250 RONCADOR,10,16,12,8,13,16,16,5,1,1,98
412260 RONDON,2,5,2,NA,4,2,1,1,4,3,24
412265 ROSARIO DO IVAI,2,NA,NA,2,NA,NA,NA,8,NA,2,14
412270 SABAUDIA,NA,1,2,NA,NA,1,NA,NA,NA,NA,4
412280 SALGADO FILHO,3,1,NA,NA,1,NA,1,NA,2,1,9
412290 SALTO DO ITARARE,2,1,NA,1,3,NA,3,3,1,1,15
412300 SALTO DO LONTRA,4,5,1,124,7,15,6,3,6,7,178
412310 SANTA AMELIA,2,NA,3,1,1,NA,NA,NA,1,NA,8
412320 SANTA CECILIA DO PAVAO,3,2,1,NA,NA,NA,1,2,1,1,11
412330 SANTA CRUZ DE MONTE CASTELO,NA,NA,1,NA,7,8,4,85,3,1,109
412340 SANTA FE,NA,1,1,1,NA,NA,NA,NA,NA,NA,3
412350 SANTA HELENA,3,1,2,NA,4,6,12,9,15,2,54
412370 SANTA ISABEL DO IVAI,3,NA,1,NA,4,3,3,27,3,1,45
412380 SANTA IZABEL DO OESTE,4,2,4,4,6,11,9,2,8,6,56
412382 SANTA LUCIA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2
412385 SANTA MARIA DO OESTE,4,1,2,2,NA,1,2,12,3,NA,27
412390 SANTA MARIANA,2,9,1,NA,NA,8,3,7,NA,NA,30
412395 SANTA MONICA,NA,1,NA,NA,2,1,1,7,NA,NA,12
412400 SANTANA DO ITARARE,1,NA,NA,3,2,1,1,NA,1,4,13
412402 SANTA TEREZA DO OESTE,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
412405 SANTA TEREZINHA DE ITAIPU,8,6,7,11,4,5,5,6,1,6,59
412410 SANTO ANTONIO DA PLATINA,13,16,10,69,46,33,14,14,3,NA,218
412420 SANTO ANTONIO DO CAIUA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
412430 SANTO ANTONIO DO PARAISO,NA,NA,2,2,NA,NA,NA,NA,NA,1,5
412440 SANTO ANTONIO DO SUDOESTE,36,6,32,219,182,185,173,94,25,10,962
412450 SANTO INACIO,1,1,2,1,NA,NA,1,NA,NA,NA,6
412460 SAO CARLOS DO IVAI,2,NA,1,NA,NA,NA,NA,NA,NA,NA,3
412470 SAO JERONIMO DA SERRA,8,5,6,NA,1,9,4,10,NA,1,44
412480 SAO JOAO,2,1,1,1,1,NA,4,1,1,NA,12
412490 SAO JOAO DO CAIUA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2
412500 SAO JOAO DO IVAI,2,2,2,NA,NA,NA,1,5,NA,2,14
412510 SAO JOAO DO TRIUNFO,6,4,4,5,4,3,8,5,17,13,69
412520 SAO JORGE D'OESTE,2,1,3,4,5,2,4,1,2,7,31
412530 SAO JORGE DO IVAI,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2
412540 SAO JOSE DA BOA VISTA,1,NA,NA,6,7,3,2,1,5,6,31
412545 SAO JOSE DAS PALMEIRAS,NA,2,NA,NA,1,NA,1,1,1,1,7
412550 SAO JOSE DOS PINHAIS,273,201,168,172,124,92,134,146,198,163,1671
412555 SAO MANOEL DO PARANA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2
412560 SAO MATEUS DO SUL,60,14,83,14,4,5,5,10,5,6,206
412570 SAO MIGUEL DO IGUACU,8,15,10,7,16,17,4,8,3,3,91
412575 SAO PEDRO DO IGUACU,1,2,NA,NA,NA,1,3,3,2,2,14
412580 SAO PEDRO DO IVAI,NA,1,NA,NA,NA,NA,3,1,1,1,7
412590 SAO PEDRO DO PARANA,NA,NA,NA,NA,6,2,1,32,2,NA,43
412600 SAO SEBASTIAO DA AMOREIRA,5,1,NA,NA,3,1,1,2,NA,NA,13
412610 SAO TOME,1,1,1,NA,NA,NA,NA,1,NA,NA,4
412620 SAPOPEMA,2,1,9,5,2,1,NA,5,NA,1,26
412625 SARANDI,2,NA,5,3,3,3,1,9,2,1,29
412627 SAUDADE DO IGUACU,1,2,1,1,1,2,2,3,NA,NA,13
412630 SENGES,3,2,2,3,3,3,NA,3,46,113,178
412635 SERRANOPOLIS DO IGUACU,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2
412640 SERTANEJA,4,NA,NA,NA,NA,NA,NA,1,1,NA,6
412650 SERTANOPOLIS,3,2,3,5,2,7,6,12,4,3,47
412660 SIQUEIRA CAMPOS,4,14,13,10,17,9,14,5,4,32,122
412665 SULINA,NA,1,1,NA,1,NA,1,NA,NA,NA,4
412667 TAMARANA,13,4,4,13,5,10,19,7,9,13,97
412670 TAMBOARA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2
412680 TAPEJARA,2,2,NA,NA,NA,NA,2,1,NA,NA,7
412690 TAPIRA,NA,NA,1,NA,NA,NA,2,NA,2,NA,5
412700 TEIXEIRA SOARES,NA,NA,NA,NA,1,1,NA,3,NA,NA,5
412710 TELEMACO BORBA,9,31,9,5,4,6,21,20,7,3,115
412720 TERRA BOA,NA,NA,NA,2,1,NA,NA,3,NA,NA,6
412730 TERRA RICA,1,2,NA,1,NA,NA,NA,NA,NA,NA,4
412740 TERRA ROXA,11,29,17,4,7,5,7,9,9,7,105
412750 TIBAGI,11,2,1,6,5,5,5,5,2,3,45
412760 TIJUCAS DO SUL,15,14,9,9,18,11,7,11,12,8,114
412770 TOLEDO,11,14,10,3,4,8,23,26,13,8,120
412780 TOMAZINA,1,1,1,12,10,NA,2,NA,NA,5,32
412785 TRES BARRAS DO PARANA,1,NA,NA,NA,8,2,6,NA,NA,1,18
412788 TUNAS DO PARANA,6,6,7,7,4,4,10,2,13,8,67
412790 TUNEIRAS DO OESTE,6,1,NA,NA,NA,1,NA,NA,NA,NA,8
412795 TUPASSI,18,19,2,4,2,NA,1,NA,1,NA,47
412796 TURVO,1,1,3,1,1,3,1,NA,NA,2,13
412800 UBIRATA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,3
412810 UMUARAMA,3,2,4,NA,2,8,2,2,NA,NA,23
412820 UNIAO DA VITORIA,6,7,8,2,4,10,7,5,3,8,60
412830 UNIFLOR,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
412840 URAI,5,4,NA,2,NA,6,5,1,NA,NA,23
412850 WENCESLAU BRAZ,8,8,4,31,30,9,19,4,1,18,132
412853 VENTANIA,1,NA,2,2,2,1,2,1,4,NA,15
412855 VERA CRUZ DO OESTE,NA,1,NA,NA,NA,2,NA,NA,1,NA,4
412860 VERE,NA,1,1,2,2,4,3,NA,1,1,15
412862 ALTO PARAISO,NA,1,NA,NA,1,1,NA,NA,NA,NA,3
412863 DOUTOR ULYSSES,2,4,6,1,5,2,1,4,4,7,36
412870 VITORINO,3,2,2,NA,2,3,1,NA,1,3,17
412880 XAMBRE,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
 MUNICIPIO IGNORADO NA SC,NA,1,1,NA,NA,NA,2,NA,NA,NA,4
420005 ABDON BATISTA,NA,1,NA,4,1,2,NA,NA,1,NA,9
420010 ABELARDO LUZ,4,2,NA,1,2,NA,1,4,3,NA,17
420020 AGROLANDIA,NA,3,NA,4,1,1,NA,2,NA,NA,11
420030 AGRONOMICA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,3
420040 AGUA DOCE,55,56,34,38,31,11,5,3,3,5,241
420050 AGUAS DE CHAPECO,3,2,NA,NA,NA,1,1,25,NA,NA,32
420055 AGUAS FRIAS,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
420060 AGUAS MORNAS,3,2,3,3,5,NA,2,NA,NA,1,19
420070 ALFREDO WAGNER,12,5,9,1,3,4,1,8,3,1,47
420075 ALTO BELA VISTA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,3
420080 ANCHIETA,NA,NA,1,1,NA,NA,NA,1,NA,NA,3
420090 ANGELINA,3,1,2,2,NA,1,NA,1,1,NA,11
420100 ANITA GARIBALDI,6,8,35,1,NA,NA,1,1,NA,1,53
420110 ANITAPOLIS,10,3,2,NA,2,NA,2,NA,NA,NA,19
420120 ANTONIO CARLOS,10,3,4,NA,6,2,3,1,4,1,34
420125 APIUNA,7,NA,NA,NA,1,NA,NA,1,NA,NA,9
420127 ARABUTA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3
420130 ARAQUARI,31,3,4,NA,2,2,6,4,3,2,57
420140 ARARANGUA,9,9,21,11,7,8,5,9,2,6,87
420150 ARMAZEM,10,3,NA,NA,NA,2,2,NA,1,1,19
420160 ARROIO TRINTA,1,NA,NA,1,NA,NA,NA,2,NA,NA,4
420165 ARVOREDO,1,NA,NA,NA,NA,NA,NA,8,NA,NA,9
420170 ASCURRA,NA,NA,1,NA,NA,3,2,NA,1,NA,7
420180 ATALANTA,1,2,NA,NA,NA,1,NA,2,NA,1,7
420190 AURORA,2,NA,1,NA,1,NA,NA,NA,1,1,6
420195 BALNEARIO ARROIO DO SILVA,5,2,4,6,NA,NA,NA,4,NA,4,25
420200 BALNEARIO CAMBORIU,18,7,6,72,5,6,9,13,3,5,144
420205 BALNEARIO BARRA DO SUL,6,2,1,NA,1,3,4,2,1,1,21
420207 BALNEARIO GAIVOTA,8,4,6,4,NA,1,4,3,2,NA,32
420208 BANDEIRANTE,NA,NA,NA,2,NA,NA,NA,NA,1,NA,3
420209 BARRA BONITA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
420210 BARRA VELHA,30,4,2,NA,5,2,9,4,5,2,63
420213 BELA VISTA DO TOLDO,8,1,NA,6,21,41,8,2,3,NA,90
420215 BELMONTE,3,NA,NA,NA,NA,NA,NA,1,NA,NA,4
420220 BENEDITO NOVO,1,3,4,3,NA,1,30,NA,NA,NA,42
420230 BIGUACU,94,63,59,26,67,19,23,21,25,16,413
420240 BLUMENAU,22,39,21,2,NA,11,4,14,8,11,132
420243 BOCAINA DO SUL,2,2,1,NA,NA,NA,NA,NA,NA,NA,5
420245 BOMBINHAS,6,2,2,11,8,2,1,4,2,2,40
420250 BOM JARDIM DA SERRA,8,4,2,NA,2,1,NA,2,1,NA,20
420253 BOM JESUS,3,3,NA,NA,NA,NA,NA,1,NA,NA,7
420257 BOM JESUS DO OESTE,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
420260 BOM RETIRO,13,8,8,2,NA,1,NA,NA,NA,2,34
420270 BOTUVERA,NA,1,1,1,NA,NA,NA,11,NA,NA,14
420280 BRACO DO NORTE,13,5,4,7,7,20,2,1,NA,2,61
420285 BRACO DO TROMBUDO,1,NA,NA,NA,1,1,NA,NA,1,NA,4
420287 BRUNOPOLIS,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2
420290 BRUSQUE,11,12,12,9,5,1,12,25,1,2,90
420300 CACADOR,19,26,24,10,11,5,16,10,2,NA,123
420310 CAIBI,NA,1,NA,NA,1,2,2,5,2,NA,13
420315 CALMON,1,4,1,2,1,NA,NA,1,2,NA,12
420320 CAMBORIU,55,15,5,94,9,8,17,8,5,5,221
420325 CAPAO ALTO,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2
420330 CAMPO ALEGRE,6,NA,NA,NA,6,16,4,4,2,3,41
420340 CAMPO BELO DO SUL,9,4,5,2,NA,NA,NA,2,1,1,24
420350 CAMPO ERE,NA,1,3,NA,3,4,1,1,NA,NA,13
420360 CAMPOS NOVOS,4,9,12,22,13,28,61,25,23,8,205
420370 CANELINHA,10,7,9,6,12,6,3,10,3,2,68
420380 CANOINHAS,52,58,40,9,15,73,6,33,7,7,300
420390 CAPINZAL,39,34,26,4,6,3,5,9,5,3,134
420395 CAPIVARI DE BAIXO,2,4,1,1,2,2,1,2,1,1,17
420400 CATANDUVAS,6,4,5,1,2,2,2,2,5,1,30
420410 CAXAMBU DO SUL,2,1,NA,NA,NA,NA,NA,12,NA,NA,15
420415 CELSO RAMOS,NA,NA,NA,2,2,2,NA,1,6,NA,13
420417 CERRO NEGRO,1,2,1,3,NA,NA,1,NA,NA,1,9
420419 CHAPADAO DO LAGEADO,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2
420420 CHAPECO,5,6,2,4,6,22,17,890,6,14,972
420425 COCAL DO SUL,5,1,1,1,1,1,NA,NA,2,NA,12
420430 CONCORDIA,6,1,3,3,4,2,5,4,2,11,41
420435 CORDILHEIRA ALTA,NA,1,NA,NA,NA,NA,NA,12,NA,NA,13
420440 CORONEL FREITAS,1,1,NA,2,NA,1,1,22,NA,1,29
420445 CORONEL MARTINS,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
420450 CORUPA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,3
420455 CORREIA PINTO,9,3,3,1,5,2,1,2,NA,NA,26
420460 CRICIUMA,12,20,10,12,9,5,10,11,8,7,104
420470 CUNHA PORA,NA,NA,NA,NA,NA,NA,3,11,1,3,18
420475 CUNHATAI,1,NA,NA,NA,NA,NA,NA,5,NA,NA,6
420480 CURITIBANOS,1,4,8,NA,6,1,1,NA,3,NA,24
420490 DESCANSO,1,1,NA,NA,1,NA,NA,NA,NA,NA,3
420500 DIONISIO CERQUEIRA,NA,2,4,4,NA,2,2,5,2,1,22
420510 DONA EMMA,8,1,NA,NA,2,NA,NA,NA,NA,2,13
420515 DOUTOR PEDRINHO,1,1,NA,NA,1,1,11,1,NA,NA,16
420517 ENTRE RIOS,3,2,NA,NA,NA,NA,NA,1,1,1,8
420519 ERMO,NA,NA,NA,NA,NA,NA,1,2,NA,2,5
420520 ERVAL VELHO,3,NA,1,1,1,2,NA,2,2,4,16
420530 FAXINAL DOS GUEDES,1,2,3,4,3,1,1,2,1,NA,18
420540 FLORIANOPOLIS,945,512,423,249,275,200,228,198,219,71,3320
420543 FORMOSA DO SUL,1,NA,NA,NA,NA,NA,NA,7,NA,NA,8
420545 FORQUILHINHA,3,3,8,2,1,1,1,3,NA,2,24
420550 FRAIBURGO,3,1,6,5,98,460,469,8,6,2,1058
420555 FREI ROGERIO,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2
